2026-02-15 12:32:39 | INFO | __main__ | run.py:24 | current working directory: C:\Users\C566795\OneDrive - Anheuser-Busch InBev\Documents\temp\project_customer_churn\customer-churn-ds
2026-02-15 12:32:39 | INFO | __main__ | run.py:48 | PipelineRunner initialized
2026-02-15 12:32:39 | INFO | __main__ | run.py:56 | ========== PIPELINE STARTED ==========
2026-02-15 12:32:39 | INFO | __main__ | run.py:61 | STEP 1: Loading raw data
2026-02-15 12:32:39 | INFO | src.data.load_data | load_data.py:28 | DataLoader initialized
2026-02-15 12:32:39 | INFO | src.data.load_data | load_data.py:37 | Loading data from: data/raw/customer_churn_dataset.csv
2026-02-15 12:32:39 | INFO | src.data.load_data | load_data.py:60 | Data loaded successfully. Shape=(100000, 10)
2026-02-15 12:32:39 | INFO | __main__ | run.py:66 | Raw data shape: (100000, 10)
2026-02-15 12:32:39 | INFO | __main__ | run.py:71 | STEP 2: Validating data
2026-02-15 12:32:39 | INFO | src.data.validate_data | validate_data.py:28 | DataValidator initialized
2026-02-15 12:32:39 | INFO | src.data.validate_data | validate_data.py:109 | Starting data validation
2026-02-15 12:32:39 | INFO | src.data.validate_data | validate_data.py:45 | Required column validation passed
2026-02-15 12:32:39 | INFO | src.data.validate_data | validate_data.py:64 | Missing value validation passed. Max missing=0.0300
2026-02-15 12:32:39 | INFO | src.data.validate_data | validate_data.py:86 | Target validation passed. Classes=2
2026-02-15 12:32:39 | INFO | src.data.validate_data | validate_data.py:102 | No duplicate rows detected
2026-02-15 12:32:39 | INFO | src.data.validate_data | validate_data.py:116 | Data validation completed successfully
2026-02-15 12:32:39 | INFO | __main__ | run.py:79 | STEP 3: Feature engineering
2026-02-15 12:32:39 | INFO | src.features.build_features | build_features.py:43 | FeatureBuilder initialized
2026-02-15 12:32:39 | INFO | src.features.build_features | build_features.py:47 | Starting feature engineering
2026-02-15 12:32:39 | INFO | src.features.build_features | build_features.py:56 | Processed dataset saved at data/processed/processed_data.csv
2026-02-15 12:32:39 | INFO | __main__ | run.py:84 | Processed data shape: (100000, 13)
2026-02-15 12:32:39 | INFO | __main__ | run.py:91 | STEP 4: Training model
2026-02-15 12:32:39 | INFO | src.training.train | train.py:44 | Trainer initialized successfully
2026-02-15 12:32:39 | INFO | src.training.train | train.py:191 | Training started
2026-02-15 12:32:40 | INFO | src.training.train | train.py:214 | Train-test split completed
2026-02-15 12:32:40 | INFO | src.training.train | train.py:59 | Numeric features: ['customer_id', 'age', 'tenure_months', 'monthly_charges', 'total_charges', 'support_calls', 'late_payments', 'avg_monthly_value', 'support_call_ratio', 'payment_risk']
2026-02-15 12:32:40 | INFO | src.training.train | train.py:60 | Categorical features: ['contract_type', 'internet_service']
2026-02-15 12:32:40 | INFO | src.training.train | train.py:128 | Using model: logistic_regression
2026-02-15 12:32:40 | INFO | src.training.train | train.py:223 | Model training completed
2026-02-15 12:32:40 | INFO | src.training.evaluate | evaluate.py:28 | Evaluator initialized
2026-02-15 12:32:40 | INFO | src.training.evaluate | evaluate.py:32 | Calculating evaluation metrics
2026-02-15 12:32:40 | INFO | src.training.evaluate | evaluate.py:43 | Evaluation completed: {'accuracy': 0.64385, 'precision': 0.5420766292394953, 'recall': 0.5965605095541401, 'f1_score': 0.5680150403299169, 'roc_auc': 0.6354819008676049, 'confusion_matrix': [[8194, 3956], [3167, 4683]]}
2026-02-15 12:32:40 | INFO | src.training.train | train.py:253 | Model saved at model_registry\model_20260215_123240\model.pkl
2026-02-15 12:32:40 | INFO | src.training.evaluate | evaluate.py:53 | Evaluation report saved at model_registry\model_20260215_123240\evaluation.json
2026-02-15 12:32:40 | INFO | src.training.train | train.py:285 | Model metadata saved at model_registry\model_20260215_123240\model.yaml
2026-02-15 12:32:40 | INFO | src.training.train | train.py:287 | Training pipeline completed successfully
2026-02-15 12:32:40 | INFO | __main__ | run.py:96 | Model saved at: model_registry\model_20260215_123240\model.pkl
2026-02-15 12:32:40 | INFO | __main__ | run.py:98 | ========== PIPELINE COMPLETED ==========
2026-02-15 12:39:48 | INFO | __main__ | run.py:24 | current working directory: C:\Users\C566795\OneDrive - Anheuser-Busch InBev\Documents\temp\project_customer_churn\customer-churn-ds
2026-02-15 12:39:48 | INFO | __main__ | run.py:48 | PipelineRunner initialized
2026-02-15 12:39:48 | INFO | __main__ | run.py:56 | ========== PIPELINE STARTED ==========
2026-02-15 12:39:48 | INFO | __main__ | run.py:61 | STEP 1: Loading raw data
2026-02-15 12:39:48 | INFO | src.data.load_data | load_data.py:28 | DataLoader initialized
2026-02-15 12:39:48 | INFO | src.data.load_data | load_data.py:37 | Loading data from: data/raw/customer_churn_dataset.csv
2026-02-15 12:39:48 | INFO | src.data.load_data | load_data.py:60 | Data loaded successfully. Shape=(100000, 10)
2026-02-15 12:39:48 | INFO | __main__ | run.py:66 | Raw data shape: (100000, 10)
2026-02-15 12:39:48 | INFO | __main__ | run.py:71 | STEP 2: Validating data
2026-02-15 12:39:48 | INFO | src.data.validate_data | validate_data.py:28 | DataValidator initialized
2026-02-15 12:39:48 | INFO | src.data.validate_data | validate_data.py:109 | Starting data validation
